Travelling Alone,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Age,Fare,relative,Sex_2,Survived
0,0,0,1,0,0,1,-0.5924805998028924,-0.5024451714361923,0.059159876663617696,1,0
0,1,0,0,1,0,0,0.6387890120425211,0.7868452935884461,0.059159876663617696,0,1
1,0,0,1,0,0,1,-0.284663196841539,-0.4888542575852486,-0.5609748304808925,0,1
0,0,0,1,1,0,0,0.4079259598215061,0.4207302360686478,0.059159876663617696,0,1
1,0,0,1,0,0,1,0.4079259598215061,-0.4863374216869257,-0.5609748304808925,1,0
1,0,1,0,0,0,1,-3.827554843257761e-15,-0.47811642890864375,-0.5609748304808925,1,0
1,0,0,1,1,0,0,1.8700586238879346,0.395813560675251,-0.5609748304808925,1,0
0,0,0,1,0,0,1,-2.131567614609659,-0.22408312108167944,1.9195639980971482,1,0
0,0,0,1,0,0,1,-0.20770884610120066,-0.4242561406845337,0.6792945838081278,0,1
0,1,0,0,0,1,0,-1.2081154057255992,-0.04295550208861426,0.059159876663617696,0,1
0,0,0,1,0,0,1,-1.9776589131289826,-0.312172377522981,0.6792945838081278,0,1
1,0,0,1,1,0,0,2.177876026849288,-0.11384570873513637,-0.5609748304808925,0,1
1,0,0,1,0,0,1,-0.7463893012835691,-0.4863374216869257,-0.5609748304808925,1,0
0,0,0,1,0,0,1,0.7157433627828594,-0.01870931177853076,3.1598334123861687,1,0
1,0,0,1,0,0,1,-1.2081154057255992,-0.4902797934380587,-0.5609748304808925,0,0
1,0,0,1,0,1,0,1.947012974628273,-0.3262666585535892,-0.5609748304808925,0,1
0,0,1,0,0,0,1,-2.131567614609659,-0.06199888922968463,2.5396987052416584,1,0
1,0,0,1,0,1,0,-3.827554843257761e-15,-0.3866707201133388,-0.5609748304808925,1,1
0,0,0,1,0,0,1,0.10010855686015273,-0.2859972841804228,0.059159876663617696,0,0
1,1,0,0,0,0,1,-3.827554843257761e-15,-0.5029485386158568,-0.5609748304808925,0,1
1,0,0,1,0,1,0,0.4079259598215061,-0.12491978668775715,-0.5609748304808925,1,0
1,0,0,1,0,1,0,0.33097160908116774,-0.3866707201133388,-0.5609748304808925,1,1
1,0,1,0,0,0,1,-1.1311610549852609,-0.4867562231804066,-0.5609748304808925,0,1
1,0,0,1,1,0,0,-0.1307544953608623,0.06635974158478332,-0.5609748304808925,1,1
0,0,0,1,0,0,1,-1.6698415101676292,-0.22408312108167944,1.9195639980971482,0,0
0,0,0,1,0,0,1,0.6387890120425211,-0.016444159470040135,3.1598334123861687,0,1
1,1,0,0,0,0,1,-3.827554843257761e-15,-0.5029485386158568,-0.5609748304808925,1,0
0,0,0,1,1,0,0,-0.8233436520239074,4.647001076532463,2.5396987052416584,1,0
1,0,1,0,0,0,1,-3.827554843257761e-15,-0.48977642625839407,-0.5609748304808925,0,1
1,0,0,1,0,0,1,-3.827554843257761e-15,-0.4894421904510968,-0.5609748304808925,1,0
1,1,0,0,1,0,0,0.7926977135231978,-0.09027201697708476,-0.5609748304808925,1,0
0,1,0,0,1,0,0,-3.827554843257761e-15,2.301728820789,0.059159876663617696,0,1
1,0,1,0,0,0,1,-3.827554843257761e-15,-0.49237782784290063,-0.5609748304808925,0,1
1,0,0,1,0,1,0,2.793510832771995,-0.43700743807979686,-0.5609748304808925,1,0
0,1,0,0,1,0,0,-0.1307544953608623,1.0060617003323709,0.059159876663617696,1,0
0,0,0,1,1,0,0,0.9466064150038745,0.39858208016340624,0.059159876663617696,1,0
